Colleges,Exam
SMK Fomra Institute of Technology,TNEA
Varuvan Vadivelan Institute of Technology,TNEA
Unnamalai Institute of Technology,TNEA
SBHGMC Dhule,TNEA
Bethlahem Institute of Engineering,TNEA
JLNMC Ajmer,TNEA
Jayalakshmi Institute of Technology,TNEA
"Govt. Medical College (GMC), Kottayam",TNEA
Institute of Road and Transport Technology,TNEA
Dhanalakshmi Srinivasan Institute of Technology,TNEA
R P Sarathy Institute of Technology,TNEA
Government Villupuram Medical College,TNEA
IGMCRI Puducherry,TNEA
CCET Karur,TNEA
Coimbatore Institute of Engineering and Technology,TNEA
Loyola Institute of Technology And Science,TNEA
Late Baliram Kashyap Memorial Government Medical College,TNEA
Government Sivagangai Medical College,TNEA
NBMC Darjeeling,TNEA
Veer Surendra Sai Institute of Medical Sciences and Research,TNEA
Valliammai Engineering College,TNEA
Nandha Engineering College,TNEA
Bharathiyar Institute of Engineering for Women,TNEA
Government Tiruvannamalai Medical College and Hospital,TNEA
MCET Pollachi,TNEA
P.S.R. Engineering College,TNEA
GKMC Chennai,TNEA
GMKMC Salem,TNEA
MPSMC Jamnagar,TNEA
MMCH Midnapore,TNEA
Maamallan Institute of Technology,TNEA
Jaya Engineering College,TNEA
JCE Chennai,TNEA
CMSDH Kolkata,TNEA
Hosur Institute of Technology and Science,TNEA
SKMC Muzaffarpur,TNEA
JCT Coimbatore,TNEA
SSEC Coimbatore,TNEA
SMEC Chennai,TNEA
SMC Silchar,TNEA
TMC Thanjavur,TNEA
MGMMC Jamshedpur,TNEA
SKR Engineering College,TNEA
Mahendra Group Of Institutions,TNEA
FAAMC Barpeta,TNEA
BRDMC Gorakhpur,TNEA
TMCH Tezpur,TNEA
Adhiparasakthi Engineering College,TNEA
Panimalar Engineering College Chennai,TNEA
Sasurie Academy of Engineering,TNEA
JAY SHRIRAM GROUP OF INSTITUTIONS,TNEA
NRSMC Kolkata,TNEA
RGKMCH Kolkata,TNEA
"University College of Engineering (UCE), Tindivanam",TNEA
SECE Coimbatore,TNEA
Dhanalakshmi College of Engineering Chennai,TNEA
VEC Chennai,TNEA
KCET Virudhunagar,TNEA
DMC Darbhanga,TNEA
GSVMMC Kanpur,TNEA
TEC Chennai,TNEA
DMI College of Engineering,TNEA
Sri Venkateshwara Institute of Engineering,TNEA
A N Magadh Medical College,TNEA
KCET Cuddalore,TNEA
VSBEC Karur,TNEA
HCET Coimbatore,TNEA
"RVS College of Engineering and Technology (RVSCET), Dindigul",TNEA
Rajas International Institute of Technology for Women,TNEA
GTMC Theni,TNEA
Einstein College of Engineering,TNEA
AMACE Kanchipuram,TNEA
Paavai Group Of Colleges,TNEA
GDMC Dharmapuri,TNEA
Karaikudi Institute of Technology & Karaikudi Institute of Management,TNEA
PREC Thanjavur,TNEA
Dhaanish Ahmed College of Engineering Chennai,TNEA
Npr Group Of Colleges,TNEA
KAPVGMC Tiruchirappalli,TNEA
John Bosco Group Of Colleges,TNEA
Surya Engineering College,TNEA
CAHCET Vellore,TNEA
TKSCT Theni,TNEA
LMEC Madurai,TNEA
SVHEC Erode,TNEA
NCE Tirunelveli,TNEA
SREC Chennai,TNEA
Seth Gordhandas Sunderdas Medical College,TNEA
Medical College of Baroda,TNEA
Dr Vaishampayan Memorial Government Medical College,TNEA
SVCET Virudhunagar,TNEA
BNEC Theni,TNEA
Pandit Deendayal Updhyay Medical College,TNEA
MKCG Medical College,TNEA
Psv Group Of Colleges,TNEA
Bhagat Phool Singh Medical College For Women,TNEA
College of Medicine and JNM Hospital,TNEA
Dr. Rajendra Prasad Government Medical College,TNEA
ESIC Medical College & Post Graduate Institute of Medical Sciences & Research,TNEA
Government Thiruvarur Medical College,TNEA
Malda Medical College & Hospital,TNEA
Murshidabad Medical College & Hospital,TNEA
Pandit Jawaharlal Nehru Memorial Medical College,TNEA
Shri Vasant Rao Naik Govt. Medical College,TNEA
Swami Ramanand Tirth Rural Govt. Medical College,TNEA
Government Thoothukudi Medical College,TNEA
Coimbatore Medical College,TNEA
Nandha College of Technology,TNEA
Governmernt Vellore Medical College,TNEA
ESI-Post Graduate Institute of Medical Science and Research,TNEA
King College of Technology,TNEA
Jhalawar Hospital & Medical College,TNEA
Meenakshi College of Engineering Chennai,TNEA
Tamilnadu College of Engineering Coimbatore,TNEA
Er. Perumal Manimekalai College of Engineering,TNEA
"ACE College of Engineering (ACECE), Thiruvananthapuram",TNEA
Vishnu Lakshmi College of Engineering and Technology Vellore,TNEA
"Asian College of Engineering and technology (ACET), Chennai",TNEA
VSA Groups of Institutions,TNEA
"Agni College of Technology (ACT), Chennai",TNEA
Park College of Technology,TNEA
Rajas Engineering College,TNEA
Government Chengalpattu Medical College,TNEA
"Government College of Engineering (GCE), Dharmapuri",TNEA
S.Veerasamy Chettiar College of Engineering and Technology Tirunelveli,TNEA
Sri Raaja Raajan College of Engineering and Technology Karaikudi,TNEA
Sri Ramana Maharishi College of Engineering Kanchipuram,TNEA
Mohamed Sathak Engineering College,TNEA
K.S.R. College of Engineering Tiruchengode,TNEA
SNS College of Technology,TNEA
KCG College of Technology,TNEA
Vins Christian College of Engineering Kanyakumari,TNEA
Aalim Muhammed Salegh College Of Engineering,TNEA
Gojan School of Business and Technology,TNEA
Pallavan College of Engineering Kanchipuram,TNEA
PET Engineering College,TNEA
Sudharsan Engineering College,TNEA
IFET College of Engineering Viluppuram,TNEA
M.P.Nachimuthu M.Jaganathan Engineering College,TNEA
Renganayagi Varatharaj College of Engineering Virudhunagar,TNEA
Sri Shanmugha Educational Institutions,TNEA
K.S.R College of Technology,TNEA
Vivekanandha College of Technology for Women,TNEA
Maha Barathi Engineering College,TNEA
Bharathidasan Engineering College,TNEA
P.T.Lee Chengalvaraya Naicker College Of Engineering & Technology Kanchipuram,TNEA
Ponnaiyah Ramajayam College of Engineering and Technology Thanjavur,TNEA
Satyam College Of Engineering & Technology Kanyakumari,TNEA
VRS College of Engineering and Technology Viluppuram,TNEA
"Aksheyaa College of Engineering (ACE), Kanchipuram",TNEA
Sree Sowdambika College of Engineering Virudhunagar,TNEA
Thiruvalluvar College of Engineering & Technology Thiruvannamalai,TNEA
Francis Xavier Engineering College,TNEA
"Arasu Engineering College (AEC), Thanjavur",TNEA
Jeppiaar Engineering College,TNEA
"Oxford College of Engineering (OCE), Tiruchirappalli",TNEA
N.S.N. College of Engineering and Technology Karur,TNEA
VSB College of Engineering Technical Campus Coimbatore,TNEA
Jairupaa College Of Engineering Tiruppur,TNEA
Holycross Engineering College,TNEA
Ganadipathy Tulsi's Engineering College,TNEA
Mahakavi Bharathiyar College of Engineering and Technology Tirunelveli,TNEA
Roever College of Engineering & Technology Perambalur,TNEA
Jayaraj Annapackiam CSI College of Engineering Thoothukudi,TNEA
Sardar Raja College of Engineering Tirunelveli,TNEA
Mar Ephraem College of Engineering and Technology Marthandam,TNEA
New Prince Shri Bhavani College of Engineering and Technology Chennai,TNEA
Chendhuran College of Engineering and Technology,TNEA
Pandian Saraswathi Yadav Engineering College,TNEA
Shivani Engineering College,TNEA
TRP Engineering College,TNEA
Shanmuganathan Engineering College,TNEA
Salem College of Engineering and Technology Salem,TNEA
Muthayammal Engineering College,TNEA
Kongunadu College of Engineering and Technology Tiruchirappalli,TNEA
Kathir College of Engineering Coimbatore,TNEA
Kings College of Engineering Pudukkottai,TNEA
Shree Sathyam College Of Engineering And Technology Salem,TNEA
Sri Ramanathan Engineering College,TNEA
Sri Nandhanam College of Engineering & Technology Vellore,TNEA
Stella Mary's College of Engineering Kanyakumari,TNEA
Sri Subramanya college of Engineering and Technology Dindigul,TNEA
SVS College of Engineering Coimbatore,TNEA
Vins Christian Women College of Engineering Kanyakumari,TNEA
V.P. Muthaiah Pillai Meenakshi Ammal Engineering College For Women,TNEA
"Adhi College of Engineering and Technology (ACET), Kanchipuram",TNEA
Prince Shri Venkateshwara Padmavathy Engineering College,TNEA
S.K.P Engineering College,TNEA
SNS College of Engineering Coimbatore,TNEA
St Xavier's Catholic College of Engineering Kanyakumari,TNEA
Sasurie College of Engineering Tiruppur,TNEA
K. Ramakrishnan College of Technology,TNEA
Sriram Engineering College,TNEA
St. Joseph College of Engineering & Technology Kottayam,TNEA
Misrimal Navajee Munoth Jain Engineering College,TNEA
Pavendar Bharathidasan College of Engineering and Technology Tiruchirappalli,TNEA
Kongu Engineering College,TNEA
E G S Pillay Engineering College,TNEA
Government T.D. Medical College,TNEA
NMCH Patna,TNEA
Amity School of Communication,XAT
SP Jain Institute of Management and Research,XAT
Goa Institute of Management,XAT
MICA Ahmedabad,XAT
IMT Ghaziabad,XAT
ATM Global Business School,XAT
"Development Management Institute
                        (DMI)
                        , Patna",XAT
KJ SOMAIYA Mumbai,XAT
XIM University,XAT
"Jaipuria Institute of Management (JIM), Noida",XAT
"Institute of Rural Management (IRMA), Anand",XAT
"Great Lakes Institute of Management (GLIM, GLIM Gurgaon), Gurgaon",XAT
FORE School of Management,XAT
Chitkara University Patiala,XAT
"School of Management Sciences (SMS), Varanasi",XAT
BML Munjal University,XAT
Welingkar Mumbai,XAT
BIT Mesra,XAT
Rajagiri Business School,XAT
"Institute of Management Technology (IMT), Hyderabad",XAT
"JIMS Rohini Sector 5, Delhi",XAT
"Thiagarajar School of Management, Madurai",XAT
New Delhi Institute of Management,XAT
Sharda University,XAT
Flame University,XAT
Amity University Mumbai,XAT
Karunya University,XAT
"ICFAI Business School (IBS), Hyderabad",XAT
"Amity University, Lucknow",XAT
KIIT University,XAT
OP Jindal Global University,XAT
Sanskriti University Mathura,XAT
Invertis University,XAT
Amity University Jaipur,XAT
Desh Bhagat University,XAT
IIM Delhi,XAT
"Birla Institute of Management Technology (BIMT), Noida",XAT
IMS Noida,XAT
IMI Kolkata,XAT
"Institute of Management Technology (IMT-N), Nagpur",XAT
Vivekananda Global University,XAT
"AIMS Institutes Bangalore (AIMS,AIMS Bangalore), Bangalore",XAT
St. Johns College,XAT
ISB&M Pune,XAT
"ICFAI Business School (IBS), Mumbai",XAT
BNM Institute of Technology,XAT
ITS Ghaziabad,XAT
"The ICFAI University (TICFAIU), West Tripura",XAT
"International Management Institute (IMI,IMI Bhubaneswar), Bhubaneswar",XAT
IIBS bangalore,XAT
Loyola Institute of Business Administration,XAT
"Vignana Jyothi Institute of Management (VJIM), Hyderabad",XAT
ISME bangalore,XAT
"Jaipuria Institute of Management (JIM), Lucknow",XAT
"Accurate Institute of Management and Technology (AIMT), Greater Noida",XAT
NSHM Kolkata,XAT
IIMS Pune,XAT
"ICFAI Business School (IBS), Gurgaon",XAT
GIBS Bangalore,XAT
IIHMR Jaipur,XAT
IPER Bhopal,XAT
Indira Institute Of Management,XAT
"Praxis Business School, Kolkata",XAT
IFIM Bangalore,XAT
"Jaipuria Institute of Management (JIM-Jaipur), Jaipur",XAT
PUMBA Pune,XAT
"Jaipuria Institute of Management (JIM,JIM Indore), Indore",XAT
Symbiosis Centre for Distance Learning Pune,XAT
Mangalmay Group of Institutions,XAT
Axis Colleges,XAT
Padmashree Institute of Management and Sciences,XAT
IIHMR Delhi,XAT
"Amity Business School (ABS), Noida",XAT
"Bengal Institute of Business Studies, Kolkata",XAT
Pune Institute of Business Management,XAT
Srusti Academy of Management,XAT
"Adani Institute of Infrastructure Management (AIIM), Ahmedabad",XAT
"Indian Institute of Tourism and Travel Management (IITTM), Gwalior",XAT
SKIPS University,XAT
CMS Business School,XAT
Rajiv Gandhi Institute of Petroleum Technology,XAT
Entrepreneurship Development Institute of India,XAT
Krupanidhi Group of Institutions,XAT
Aryans Group Of Colleges,XAT
IILM Institute for Higher Education,XAT
Sanghvi Institute of Management and Science,XAT
Siva Sivani Institute of Management,XAT
IIHMR Bangalore,XAT
Athena School of Management,XAT
SB Group of Institutions,XAT
JRE Group of Institutions,XAT
"Army Institute of Management (AIM), Kolkata",XAT
Management Education & Research Institute,XAT
Abhinav Education Society,XAT
Doon Business School,XAT
SPMIT Allahabad,XAT
"IILM Academy of Higher Learning (IILMAHL), Lucknow",XAT
BIMM Pune,XAT
Fortune Institute of International Business,XAT
"Indian Institute of Tourism and Travel Management (IITTM), Noida",XAT
Nitra Technical Campus,XAT
IMS Pune,XAT
City Group Of Colleges,XAT
HKBK bangalore,XAT
"Institute of Management & Information Science, Bhubaneswar",XAT
SNU Noida,XAT
KIAMS Pune,XAT
KIAMS Harihar,XAT
ISBS Pune,XAT
SCMS Kochi,XAT
Lexicon MILE Pune,XAT
"Allana Institute of Management Sciences (AIMS), Pune",XAT
SCMS Cochin School of Business,XAT
Indian Institute of Finance,XAT
SBS Ahmedabad,XAT
IMRT Lucknow,XAT
Dnyansagar Institute of Management And Research,XAT
Durgadevi Saraf Institute of Management Studies,XAT
Datta Meghe Institute of Management Studies,XAT
GEC Panipat,XAT
"Adarsh Institute of Management and Information Technology (AIMIT), Bangalore",XAT
Samalkha Group of Institutions,XAT
SCMS School of Technology and Management,XAT
GITAM Institute of Management,XAT
GRV Business Management Academy,XAT
MIT School of Business,XAT
Amity University Chhattisgarh,XAT
Suryadatta Group of Institutes,XAT
Shri Ramswaroop Memorial Group Colleges,XAT
Mahendra Institute of Management and Technical studies,XAT
BIITM Bhubaneswar,XAT
IAMR Ghaziabad,XAT
ICEM Pune,XAT
Columbia Group Of Institutions,XAT
RCM Bhubaneswar,XAT
Vignan's Nirula Institute of Technology and Science for Women,XAT
SIMS Indore,XAT
"Advanced Institute Of Technology And Management (AITM), Palwal",XAT
Navsahyadri Group of Institutes,XAT
BIMT Gurgaon,XAT
Thakur Institute of Management Studies & Research,XAT
"Alliance Ascent College (AAC), Bangalore",XAT
Bhavan's Royal Institute Of Management,XAT
ICBM - School of Business Excellence,XAT
DJ Academy for Managerial Excellence,XAT
Shiva Institute of Management Studies,XAT
REC Bhubaneswar,XAT
Sri Sairam College of Engineering bangalore,XAT
Siddhant Institute of Business Management,XAT
Shri Ram Group Of Colleges Muzaffarnagar,XAT
Geeta Institute of Management and Technology,XAT
MSM Meerut,XAT
Sarvottam Institute of Technology and Management,XAT
ISM Ranchi,XAT
"Asan Business School (ABS), Chennai",XAT
Conspi Academy of Management Studies,XAT
SIMS bangalore,XAT
Sri Sukhmani Institute of Management,XAT
MU Jaipur,XAT
"ASBM University, Bhubaneswar",XAT
RSB Chennai,XAT
IGTC bangalore,XAT
Institute of Business Studies and Research,XAT
School of Management Studies-University of Hyderabad,XAT
Centre for Management Studies - Orissa Engineering College,XAT
MATS Institute of Management and Entrepreneurship,XAT
"Calcutta Business School, Kolkata",XAT
BIMHRD Pune,XAT
MSRIM bangalore,XAT
Indian Institute of Cost and Management Studies and Research,XAT
GNIMS Mumbai,XAT
"ITM Business School (ITMBS), Mumbai",XAT
"Institute of Productivity and Management (IPM), Lucknow",XAT
Prin. L. N. Welingkar Institute of Management Development and Research,XAT
Kedarnath Aggarwal Institute of Management,XAT
"Indus Business Academy (IBA), Greater Noida",XAT
AJK Institute of Management,XAT
SDIMT Haridwar,XAT
"Apeejay Institute of Management & Engineering Technical Campus (AIMTC), Jalandhar",XAT
Jayaram College of Engineering and Technology Tiruchirappalli,XAT
Carlton Business School,XAT
BLS Institute of Management,XAT
Mount Carmel Institute of Management,XAT
Smt. Hiraben Nanavati Institute of Management & Research for Women,XAT
Ghanshyam Binani Academy of Management Sciences,XAT
Shri Shivaji Vidya Prasarak Sanstha Bapusaheb Shivajirao Deore College of Engineering Dhule,XAT
National Institute of Business Excellence,XAT
"Indira Global Business School (IGBS,IGBS Pune), Pune",XAT
BHARAT GROUP OF COLLEGES,XAT
"Acn College (ACNCEMS), Aligarh",XAT
R.V. Northland Institute of Management,XAT
LBS Pune,XAT
SIET Institute Of Management,XAT
"Maharishi Institute of Management (MIM), Bhopal",XAT
ISBM Gurgaon,XAT
Indraprasth Institute of Management,XAT
Manipal University - School of Business and Commerce,XAT
Siddhant Institute of Computer Application,XAT
EMPI New Delhi,XAT
SBS Lucknow,XAT
Shri Mangalam College of Management Studies,XAT
BRM Institute of Management & InformationTechnology,XAT
Barabati Institute Of Management Studies,XAT
Unique Institute of Management & Technology,XAT
ITERC Group of Institutions,XAT
"Wisdom School of Management (WSM), Coimbatore",XAT
IMSCDR Ahmednagar,XAT
"Smt. K. G. Mittal Institute of Management, Information Technology and Research",XAT
Nalanda College,XAT
IIBS Indore,XAT
MYRA School of Business,XAT
Institute for Future Education Entrepreneurship and Leadership,XAT
VBS bangalore,XAT
Ratan Global Business School,XAT
NSB Delhi,XAT
Siddhartha Institute of Engineering & Technology,XAT
AJIM Mangalore,XAT
SBS Delhi,XAT
Millennium Institute of Management,XAT
Vidya Group Of Institutions,XAT
SVPISTM Coimbatore,XAT
Lexicon Institute of Management Education,XAT
GSBA Greater Noida,XAT
Park Global School Of Business Excellence,XAT
"IBMR Business School (IBMR), Ahmedabad",XAT
"Kohinoor Business School (KBS), Mumbai",XAT
ASFT Noida,XAT
Techno Institute of Management Sciences,XAT
Mangalam Management Studies,XAT
AR School of Business,XAT
"A E S National College (AESNC), Chikkaballapura",XAT
Pillai Group Of Institutions,XAT
ASB bangalore,XAT
"Birla Institute of Management Technology (BIMT), Bhubaneswar",XAT
"Amity International Business School (AIBS), Noida",XAT
Bharatiya Vidya Bhavan's Usha & Lakshmi Mittal Institute of Management,XAT
IIMHRD Pune,XAT
"Aashlar Business School (ABS), Mathura",XAT
SBPIM Pune,XAT
MITSOT Pune,XAT
ISBM Bhubaneswar,XAT
NCERC Thrissur,XAT
SPM Gandhinagar,XAT
Vikrant Institute of Business Management,XAT
"Al-Ameen Institute Of Management Studies (AIMS), Bangalore",XAT
"International College of Financial Planning (ICOFP), Kolkata",XAT
GITAM HBS Hyderabad,XAT
Institute of Business Management and Research- IPS Academy,XAT
VIMS Pune,XAT
"Asia-Pacific Institute of Management (AIM, AIM Delhi), New Delhi",XAT
Chandra Mauli Institute of Management Sciences and Technology,XAT
Ushodaya Institute of Management and Technology,XAT
"Apostle Business School (ABS), Greater Noida",XAT
Karnal Institute of Technology and Management,XAT
Navjeevan Institute of Management,XAT
JP Institute of Management,XAT
Jagran Institute of Communication & Management,XAT
Pioneer College of Management,XAT
Vidya School of Business,XAT
JSB Coimbatore,XAT
CBS Indore,XAT
VALUE INSTITUTE Ahmedabad,XAT
Sri Sharada Institute of Indian Management,XAT
GSIB Visakhapatnam,XAT
JSB Kolkata,XAT
DSBS bangalore,XAT
BGIMS Mumbai,XAT
ISMS Sankalp Business School,XAT
PICT School of Technology and Management,XAT
Camp Education Society's Institute of Management,XAT
RITEE Business School,XAT
JK Institute of Management & Technology,XAT
Global Institute of Construction Management and Research,XAT
Taksila Business School,XAT
HNS Rajkot,XAT
Alliance School of Business Bangalore,XAT
HK Institute of Management Studies & Research,XAT
RGBS Pune,XAT
"Asian College of Management (ACM), Saharanpur",XAT
Brahma School Of Business,XAT
NITGSM Nagpur,XAT
ASM's Institute Of International Business & Research,XAT
APGSU Shimla,XAT
Dhruva College of Management,XAT
"ITM Business School (ITM), Bangalore",XAT
Institute of Business Management & Research International Business School,XAT
"Apeejay Institute of Technology-School of Computer Science (AITSCS), Noida",XAT
bangalore School of Management Studies,XAT
B.R.D. College of Management & Science,XAT
Meenakshi Sundararajan School of Management,XAT
Janhit School of Management,XAT
SMOT School of Business,XAT
"ITM Business School (ITM), Chennai",XAT
Krupanidhi School of Management,XAT
NILAI Institute of Management,XAT
Shashwat Institute of Business Management,XAT
Svran Apeejay Institute of Management and Design,XAT
Shri Vaishnav School of Business Management,XAT
Surya School of Business Management,XAT
IEC Business School,XAT
Gnanam School of Business,XAT
Shivani School Of Business Management,XAT
Mahatma Gandhi Vidyamandir s Institute of Management and Research,XAT
Nehru Institute of Information Technology and Management,XAT
Agni School of Business Excellence,XAT
Guru Nanak College of Business Administration,XAT
SREIR's Samarth Group of Institution's Faculty of Management,XAT
Sanjivani Rural Education Society s College of Engineering Ahmed Nagar,XAT
Institute Of Management Studeis And Research,XAT
TDL College of Engineering and Management Sciences Lucknow,XAT
Woxsen School of Business,XAT
M K EDUCATION SOCIETIE'S GROUP OF INSTITUTIONS,XAT
Cbs Group Of Colleges,XAT
D C Group Of Institutions,XAT
Devprayag Group Of Institutions,XAT
Disha Group Of Institutes,XAT
Impact Group Of Institutions,XAT
Matrix Group Of Institutions,XAT
Pillai Hoc Group Of Institutions,XAT
S.D.M. Group Of Colleges,XAT
Institute of Chemical Technology,MHT-CET
COEP Pune,MHT-CET
VJTI,MHT-CET
"Bharati Vidyapeeth's College of Engineering, Pune",MHT-CET
VIT Pune,MHT-CET
GHRCE Nagpur,MHT-CET
YCCE Nagpur,MHT-CET
Padmashree Dr. D. Y. Patil Institute of Engineering and Technology,MHT-CET
KJ Somaiya College of Engineering,MHT-CET
"Walchand College of Engineering (WCE), Sangli",MHT-CET
Sant Gadge Baba Amravati University Amravati,MHT-CET
PICT Pune,MHT-CET
IIIT Pune,MHT-CET
VIIT Pune,MHT-CET
Don Bosco Institute of Technology,MHT-CET
KKWIEER Nashik,MHT-CET
TCET Mumbai,MHT-CET
NIT Nagpur,MHT-CET
Government College of Engineering Karad,MHT-CET
Vidyalankar Institute of Technology,MHT-CET
RCOEM Nagpur,MHT-CET
St. Francis Institute of Technology,MHT-CET
Rajarambapu Institute of Technology Sangli,MHT-CET
VESIT Mumbai,MHT-CET
"Bharati Vidyapeeth College of Engineering (BVCOE), Navi Mumbai",MHT-CET
SGGSIET Nanded,MHT-CET
MIT Pune,MHT-CET
"Government College of Engineering (GCOE), Amravati",MHT-CET
Sanjay Ghodawat University,MHT-CET
Xavier Institute of Engineering,MHT-CET
Ramrao Adik Institute of Technology,MHT-CET
NIEIT Aurangabad,MHT-CET
JSPM Narhe Technical Campus,MHT-CET
Trinity Academy of Engineering,MHT-CET
WCEM Nagpur,MHT-CET
LIT Nagpur,MHT-CET
SVPCET Nagpur,MHT-CET
MIT Academy of Engineering,MHT-CET
Usha Mittal Institute of Technology,MHT-CET
Dr. Babasaheb Ambedkar Technological University Lonere,MHT-CET
VIVA Institute of Technology,MHT-CET
JNEC Aurangabad,MHT-CET
Sinhgad Academy of Engineering,MHT-CET
Jhulelal Institute of Technology,MHT-CET
"Hi-Tech Institute Of Technology (HIT), Aurangabad",MHT-CET
SRPCE Nagpur,MHT-CET
Gharda Institute Of Technology,MHT-CET
KDKCE Nagpur,MHT-CET
WIT Solapur,MHT-CET
Sapkal Knowledge Hub,MHT-CET
"All India Shri Shivaji Memorial Society's College of Engineering (AISSMSCE), Pune",MHT-CET
"National Power Training Institute (NPTI), Nagpur",MHT-CET
MMCOE Pune,MHT-CET
NBN SINHGAD TECHNICAL INSTITUTES CAMPUS,MHT-CET
RGIT Mumbai,MHT-CET
Sanjeevan Engineering & Technology Institute,MHT-CET
NKOCET Solapur,MHT-CET
Sinhgad Institute of Technology and Science,MHT-CET
Sardar Patel College of Engineering,MHT-CET
Zeal Education Society,MHT-CET
SIDDHIVINAYAK TECHNICAL CAMPUS,MHT-CET
PDEA Pune,MHT-CET
Ashokrao Mane Group of Institutions,MHT-CET
FAMT Ratnagiri,MHT-CET
BMIT Solapur,MHT-CET
Prof Ram Meghe Institute of Technology & Research,MHT-CET
"Government College of Engineering (GCE), Aurangabad",MHT-CET
Deogiri Institute of Engineering and Management Studies,MHT-CET
Abhinav Education Society,MHT-CET
ICEEM Aurangabad,MHT-CET
Tatyasaheb Kore Institute of Engineering and Technology,MHT-CET
Yadavrao Tasgaonkar Institute of Engineering & Technology,MHT-CET
GCOE Jalgaon,MHT-CET
BALLARPUR INSTITUTE OF TECHNOLOGY,MHT-CET
Department of Technology,MHT-CET
K J Somaiya Institute of Engineering and Information Technology,MHT-CET
VIT Nagpur,MHT-CET
"A G Patil Institute Of Technology (AGPIT), Solapur",MHT-CET
DYPCET Kolhapur,MHT-CET
Fr. C. Rodrigues Institute of Technology,MHT-CET
TGPCET Nagpur,MHT-CET
Jawaharlal Darda Institute of Engineering and Technology,MHT-CET
NIT Polytechnic,MHT-CET
Pimpri Chinchwad University,MHT-CET
Alamuri Ratnamala Institute of Engineering and Technology,MHT-CET
MMIT Pune,MHT-CET
ICEM Pune,MHT-CET
NMIET Pune,MHT-CET
JIT Nashik,MHT-CET
SVIT Nashik,MHT-CET
MESCOE Pune,MHT-CET
Datta Kala Group Of Institutions,MHT-CET
"All India Shri Shivaji Memorial Society s Institute of Information Technology (Aissmsioit), Pune",MHT-CET
Chhatrapati Shivaji Maharaj Institute of Technology,MHT-CET
PVPIT Sangli,MHT-CET
MIET Gondia,MHT-CET
Pune Vidyarthi Griha's College Of Engineering,MHT-CET
GNIET Nagpur,MHT-CET
Vishveshwarya Technical Campus,MHT-CET
College of Engineering and Technology Akola,MHT-CET
SBGI Miraj,MHT-CET
DYP Pune,MHT-CET
BIGCE Solapur,MHT-CET
Yashoda Technical Campus,MHT-CET
Shri Shivaji Institute of Engineering and Management Studies,MHT-CET
Mauli Group Of Institutions,MHT-CET
New Horizon Institute of Technology and Management,MHT-CET
"Bhagwant Institute of Technology (BIT), Barshi",MHT-CET
JSPMs Jayawantrao Sawant College of Engineering,MHT-CET
Flora Institute of Technology,MHT-CET
"Aravind Gavali College of Engineering (AGCE), Satara",MHT-CET
SHRI JAYKUMAR RAWAL INSTITUTE OF TECHNOLOGY,MHT-CET
SAMARTH GROUP OF INSTITUTIONS,MHT-CET
DMIETR Wardha,MHT-CET
KITS Nagpur,MHT-CET
DPCOE Pune,MHT-CET
"Anjuman College of Engineering & Technology (ACET), Nagpur",MHT-CET
SAKEC Mumbai,MHT-CET
RASIKLAL M. DHARIWAL SINHGAD TECHNICAL INSTITUTES CAMPUS,MHT-CET
CCoEW Nagpur,MHT-CET
Dilkap Research Institute of Engineering and Management Studies,MHT-CET
Maulana Mukhtar Ahmad Nadvi Technical Campus,MHT-CET
SIEM Nashik,MHT-CET
VCET Vasai,MHT-CET
Aditya Education Society,MHT-CET
DIET Satara,MHT-CET
"Aurangabad College of Engineering (ACE), Aurangabad",MHT-CET
BDCE Wardha,MHT-CET
JDCOEM Nagpur,MHT-CET
SCET Nagpur,MHT-CET
"Government College of Engineering (GCE), Chandrapur",MHT-CET
GWCET Nagpur,MHT-CET
"Atharva College of Engineering (ACE), Mumbai",MHT-CET
Dr. Vithalrao Vikhe Patil Foundation,MHT-CET
VVP Solapur,MHT-CET
DHANANJAY MAHADIK GROUP OF INSTITUTIONS,MHT-CET
ADSUL'S TECHNICAL CAMPUS,MHT-CET
NIETM Nagpur,MHT-CET
SSPACE Wardha,MHT-CET
SNJB Nashik,MHT-CET
DY Patil College Of Engineering Pune,MHT-CET
PCCOER Pune,MHT-CET
DBACER Nagpur,MHT-CET
PKTC Pune,MHT-CET
GCER Pune,MHT-CET
PIGCE Nagpur,MHT-CET
COET Jalgaon,MHT-CET
SSCET Chandrapur,MHT-CET
"Government College of Engineering (GCE), Jalgaon",MHT-CET
COET Jalgaon,MHT-CET
Acharya Vinoba Bhave Institute of Technology,MHT-CET
Vishwaniketan’s Institute of Management Entrepreneurship & Engineering Technology (ViMEET),MHT-CET
VILASRAO DESHMUKH FOUNDATION GROUP OF INSTITUTIONS,MHT-CET
JSPM's Bhivarabai Sawant Institute of Technology & Research,MHT-CET
"ADARSH INSTITUTE OF TECHNOLOGY & RESERCH CENTRE., Vita",MHT-CET
SCE Pune,MHT-CET
LTCE Mumbai,MHT-CET
Dr DY Patil Technical Campus,MHT-CET
DMCE Mumbai,MHT-CET
SCE Pune,MHT-CET
"SHRI SAIBABA INSTITUTE OF ENGINEERING, RESEARCH AND ALLIED SCIENCES",MHT-CET
"Sai Institute of Engineering & Technology (SIET), Aurangabad",MHT-CET
K.V.N. Naik Institute Of Engineering Education & Research,MHT-CET
SRMCEW Nagpur,MHT-CET
IOK COE Pune,MHT-CET
